alpha,fixed_point_reward,fixed_point_gap,approval_probability,prob_any_approval,false_approval_probability,true_approval_probability,entry_rate,null_entry_rate,mean_sample_size,participation_threshold,expected_false_approvals,expected_true_approvals,expected_false_negatives,mfdr,pfdr,fdr,sensitivity,specificity,baseline_best_n,baseline_utility,baseline_active,cost_floor,mfdr_bound_action_specific,mfdr_bound_null_entry,mfdr_bound_effective,mfdr_bound_monopoly,pfdr_bound_action_specific,pfdr_bound_null_entry,pfdr_bound_effective,pfdr_bound_monopoly,fdr_bound_action_specific,fdr_bound_null_entry,fdr_bound_effective,fdr_bound_monopoly
0.01,29.99999910593033,8.940696716308594e-07,0.2525788975002776,0.2525788975002776,0.0,0.2525788975002776,0.4313120649199797,0.0,24.471038567634334,0.5764119601328904,0.0,0.2525788975002776,0.3663755143122853,0.0,0.0,0.0,0.4080735069980658,1.0,0,0.0,False,1.0,0.0,0.0,0.2999999910593033,0.3,0.0,0.0,0.2999999910593033,0.3,0.0,0.0,0.07577366699185198,0.07577366925008329
0.02,29.99999910593033,8.940696716308594e-07,0.2894699423849865,0.28946994238498647,0.0,0.2894699423849865,0.5175973004723822,0.0,26.89181049745675,0.5431893687707642,0.0,0.2894699423849865,0.3294844694275764,0.0,0.0,0.0,0.4676757073873904,1.0,0,0.0,False,1.0,0.0,0.0,0.5999999821186066,0.6,0.0,0.0,0.5999999821186066,0.6,0.0,0.0,0.17368196025486596,0.17368196543099187
0.03,29.99999910593033,8.940696716308594e-07,0.31358150159407894,0.31358150159407894,0.0,0.31358150159407894,0.568893755660988,0.0,28.097636626274994,0.5232558139534884,0.0,0.31358150159407894,0.305372910218484,0.0,0.0,0.0,0.5066310145132956,1.0,0,0.0,False,1.0,0.0,0.0,0.8999999731779098,0.8999999999999999,0.0,0.0,0.8999999731779098,0.8999999999999999,0.0,0.0,0.28222334302375973,0.28222335143467103
0.04,29.99999910593033,8.940696716308594e-07,0.32959233241512365,0.32959233241512365,0.0,0.32959233241512365,0.6107256683321244,0.0,28.56667466832091,0.5066445182724253,0.0,0.32959233241512365,0.2893620793974393,0.0,0.0,0.0,0.5324985590617837,1.0,0,0.0,False,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.32959233241512365,0.32959233241512365
0.05,29.99999910593033,8.940696716308594e-07,0.3525003740984876,0.35250037409848756,0.0013862320044001142,0.3511141420940875,0.6513120925069572,0.032357680694394333,30.10055390035173,0.4900332225913621,0.0013862320044001142,0.3511141420940875,0.26784026971847547,0.0039325688886015335,0.0039325688886015335,0.001386232004400114,0.5672697946620581,0.9963620310866368,13,0.23427730249532042,True,1.0,0.00423564602790389,0.004589737071506439,1.0,1.0,0.00423564602790389,0.004589737071506439,1.0,1.0,0.001493066809384894,0.0016178840347197165,0.35250037409848756,0.35250037409848756
0.060000000000000005,29.99999910593033,8.940696716308594e-07,0.3695671721078698,0.3695671721078698,0.0038423510147099957,0.36572482109315985,0.7053765612337894,0.0864221494212265,30.587788406207235,0.46677740863787376,0.0038423510147099957,0.36572482109315985,0.2532295907194031,0.01039689481290964,0.01039689481290964,0.0038423510147099957,0.5908752149001755,0.9899162957561395,10,0.6406249511055633,True,1.0,0.012788504102019715,0.014030815929073076,1.0,1.0,0.012788504102019715,0.014030815929073076,1.0,1.0,0.004726211296473319,0.0051853289652735906,0.3695671721078698,0.3695671721078698
0.06999999999999999,29.99999910593033,8.940696716308594e-07,0.37169660189236475,0.37169660189236475,0.0038423510147099957,0.36785425087765483,0.7053765612337894,0.0864221494212265,29.834582587625082,0.46677740863787376,0.0038423510147099957,0.36785425087765483,0.2511001609349081,0.010337331563291119,0.010337331563291119,0.0038423510147099953,0.59431558101415,0.9899162957561395,10,0.6406249511055633,True,1.0,0.012715239451777197,0.01627550649827483,1.0,1.0,0.012715239451777197,0.01627550649827483,1.0,1.0,0.004726211296473319,0.006049550459485855,0.37169660189236475,0.37169660189236475
0.08,29.99999910593033,8.940696716308594e-07,0.3934881751643123,0.3934881751643122,0.006278207889150763,0.3872099672751616,0.7345398439129325,0.1155854321003695,31.73403024984954,0.4534883720930233,0.006278207889150763,0.3872099672751616,0.23174444453740134,0.01595526444099398,0.01595526444099398,0.006278207889150762,0.6255872159328267,0.9835237355220013,12,1.0899413409846632,True,1.0,0.02144285730316188,0.02349965043846179,1.0,1.0,0.02144285730316188,0.02349965043846179,1.0,1.0,0.008437510790529913,0.00924683456802956,0.3934881751643122,0.3934881751643122
0.09,29.99999910593033,8.940696716308594e-07,0.39787781038369446,0.3978778103836944,0.008236902976333175,0.3896409074073613,0.7485945929946789,0.12964018118211595,30.199342309364376,0.446843853820598,0.008236902976333175,0.3896409074073613,0.22931350440520165,0.020702091851741863,0.020702091851741863,0.008236902976333175,0.6295147105686285,0.9783834185943089,14,1.4934813650405094,True,1.0,0.029253823951985468,0.029324621785614888,1.0,1.0,0.029253823951985468,0.029324621785614888,1.0,1.0,0.011639447419366051,0.011667616306390434,0.3978778103836944,0.3978778103836944
0.09999999999999999,29.99999910593033,8.940696716308594e-07,0.4106919116078139,0.4106919116078138,0.008236902976333175,0.40245500863148065,0.7485945929946789,0.12964018118211595,31.918572303491455,0.446843853820598,0.008236902976333175,0.40245500863148065,0.2164994031810823,0.02005616069741087,0.02005616069741087,0.008236902976333175,0.6502175296770573,0.9783834185943089,14,1.4934813650405094,True,1.0,0.028341068061941834,0.031566285460697,1.0,1.0,0.028341068061941834,0.031566285460697,1.0,1.0,0.011639447419366051,0.01296401811821159,0.4106919116078138,0.4106919116078138
