model,alpha,pilot_size,r_star,approval_probability,a0,mfdr,pfdr,fdr,cost_floor_bound
exact_knowledge,0.05,,5.965211391448975,0.2506748072658814,0.0,0.0,0.0,0.0,0.29826056957244873
self_belief,0.05,5,7.079244329014633,0.20998686005040657,0.002162872441674794,0.010300037064964945,0.010300037064964945,0.010207668311405549,0.35396221645073167
self_belief,0.05,20,6.751039479839866,0.22067045443546873,0.0008499372687191904,0.003851613352107089,0.003851613352107089,0.0038253067043403474,0.3375519739919933
self_belief,0.05,100,6.249951240492473,0.23898304336983264,3.079636791380963e-05,0.0001288642385650409,0.0001288642385650409,0.00012831719856371812,0.3124975620246237
